Time,A1,A17,A21,B3,B7,B11
05:50.2,421982.906,857851.125,174184.906,7437.39014,10010.498,6376.604
05:56.2,423451.375,855919.437,174907.625,7430.94092,10025.0156,6350.00684
06:02.2,422892.063,851295.563,173881.5,7428.52148,10033.0801,6335.49805
06:08.2,419997.937,850184.125,172922.297,7456.7373,10047.5996,6319.37988
06:14.2,423198.469,841776.875,172544.875,7444.64697,10055.668,6307.29102
06:20.3,424553.375,836575.438,171718.344,7429.32812,10087.9287,6261.34961
06:26.3,423612.312,833265.125,170727.062,7440.61426,10103.2539,6236.36475
06:32.3,423831.187,822828.25,169677.687,7205.22314,9296.73145,6125.14453
06:38.2,409546.187,881573.25,164741.047,7065.76611,8809.65527,6233.14062
06:44.2,403608.781,1026251.44,168501.125,7066.57129,8595.16211,6418.51416
06:50.1,411715.656,1170757.63,175717.891,7105.26367,8591.12988,6589.38672
06:56.1,415582.937,1229006.5,178965.641,7118.16309,8571.7793,6700.61963
07:02.0,418328.594,1270380,180611.937,7130.25342,8568.55273,6804.59766
07:08.0,423353.281,1313428.88,182031.719,7151.21289,8566.13477,6877.14453
07:14.0,425040.188,1332422.25,182772.266,7156.05029,8557.26562,6953.72119
07:20.0,427118.094,1366844.87,184021.422,7168.94775,8558.07227,7013.37109
07:26.0,429537.781,1394720.13,185407.125,7169.75537,8553.23535,7062.54346
07:32.0,431348.469,1409172.5,185930.094,7181.84717,8528.23926,7116.55225
07:38.0,432835.344,1423700.62,186672,7191.51953,8529.04492,7168.14307
07:43.9,434102.469,1449500.63,187481.734,7198.77588,8550.81738,7213.28613
07:49.9,435684.938,1461242.87,188203.016,7203.61328,8541.1416,7266.49023
07:55.8,437343.313,1473253.62,189153.438,7218.12402,8533.88574,7307.60449
08:01.8,439241.844,1489435.75,190010.375,7224.57129,8516.9502,7332.59229
08:07.8,439666.687,1503488.38,190803.047,7223.76514,8512.1123,7368.86914
08:13.8,439951.219,1507949.75,191108.344,7225.37842,8510.50098,7399.50391
08:19.9,440826.656,1523478.25,191025.5,7233.43848,8506.46875,7434.16748
08:25.9,442048.344,1530756.37,191694.562,7238.27539,8520.17578,7451.90234
08:31.9,443132.312,1541406,192259.984,7247.94727,8526.62598,7476.08691
08:37.9,443344.187,1534217.12,192994.578,7245.5332,8523.4043,7490.60107
08:43.9,443639.5,1537958.75,193376.953,7243.11475,8525.0166,7511.56055
08:49.9,444006.719,1536751.88,193894.813,7239.88867,8507.27637,7530.10205
08:55.8,444314.312,1550777.87,194068.063,7245.53369,8496.7959,7545.4209
09:01.8,444708.969,1565862.5,194485.656,7250.37012,8492.76367,7574.44287
09:07.8,445187.906,1567895.5,194974.406,7258.43115,8489.53809,7588.14697
09:13.7,444936.469,1558014.13,195433,7257.62256,8495.18066,7610.71924
09:19.8,446008.719,1570234.25,196158.734,7264.87842,8472.60352,7638.93604
09:25.8,446763.125,1576226.13,196474.406,7254.40039,8460.51074,7649.41846
09:31.8,446065.156,1583290,196420.812,7265.68506,8421.80664,7659.09033
09:37.9,445806.625,1596192.63,196452.625,7254.3999,8444.38379,7672.79736
09:43.8,446301.625,1587764.88,196540.563,7248.75732,8436.32129,7684.08398
09:49.8,447166.687,1584630.88,196749.016,7241.50244,8410.51855,7692.14551
09:55.8,446784.219,1599217.75,197046.188,7239.88867,8416.16113,7704.2373
10:01.8,446476.469,1607258.13,197227.063,7239.08301,8368.59082,7714.71973
10:07.7,446040.562,1619159.38,197129.125,7235.85986,8376.6543,7726.8125
10:13.7,446076.594,1616951,197346.813,7231.02246,8379.87891,7730.84326
10:19.7,447359.281,1615369.88,196813.469,7205.22705,8234.74609,7725.20068
10:25.8,444453.188,1622787.88,195870.031,7159.28027,8186.37109,7731.65186
10:31.8,441474.25,1621466.88,195192.891,7145.57715,8149.28271,7736.48877
10:37.9,439892.625,1624310.13,194874.859,7135.90332,8185.56543,7749.38818
10:43.9,439872.5,1631258.75,194990.359,7130.26074,8139.60693,7751.80615
