Time,A1,A17,A21,B3,B7,B11
34:33.8,446601.75,974142.5,178006.156,7182.64795,9593.51172,5598.88916
34:39.8,446001.281,965928.062,178259.734,7176.19824,9608.83398,5585.18945
34:45.8,446292.281,959352.75,178470.797,7185.87158,9625.77051,5556.98437
34:51.7,445995.125,950796.062,177992.797,7189.90088,9644.31934,5548.11963
34:57.7,446468.906,942305.063,176971.094,7189.90234,9670.93555,5554.56738
35:03.7,445368.437,936467,177089.531,7189.0957,9686.25879,5544.09033
35:09.6,444318.094,929559.063,177194.578,7186.67627,9686.25684,5527.97266
35:15.6,446009.969,925988.125,176804.281,7197.96094,9702.38672,5485.26221
35:21.6,446598.906,922385.875,176926.016,7206.02197,9739.48633,5430.46533
35:27.6,446625.375,915361.875,177399.781,7216.50342,9762.07324,5399.04053
35:33.6,446385.406,908899.25,177942.766,7215.69873,9775.78418,5378.89502
35:39.7,446197.187,900776.187,177726.672,7222.14551,9782.23437,5377.28271
35:45.7,447086.062,895752.188,177824.313,7219.73047,9804.01562,5371.64355
35:51.7,447158.25,890547.25,177449.813,7218.11523,9817.72266,5362.77783
35:57.6,447281.219,885875.438,176605.813,7222.95117,9835.4668,5332.9624
36:03.6,447916.156,881667.187,176058.016,7233.43262,9863.69727,5304.76025
36:09.5,447454.563,876491,176264.781,7243.10498,9884.66602,5287.83691
36:15.6,447460.594,868526.938,177077,7247.13428,9895.95703,5276.55566
36:21.5,447411.344,861197.625,177146.203,7243.10352,9916.92676,5291.05957
36:27.5,446825.656,855680.812,176780.031,7236.65332,9940.31445,5303.95215
36:33.5,444313.563,848390.813,176398.953,7225.3667,9940.31445,5303.14551
36:39.5,444199.281,846654.875,176307.219,7239.0708,9944.3457,5295.0874
36:45.5,445431.5,843932.125,176537.438,7256.00146,9966.93359,5253.18701
36:51.5,447035.938,838588.625,176721.734,7261.64551,9997.58398,5231.43115
36:57.5,447656.687,834772.562,176270.578,7269.70508,10025.8115,5213.70312
37:03.5,447977.656,831037,175910.391,7271.31934,10039.5264,5204.84033
37:09.3,447470.25,826274.875,175606.891,7268.89893,10064.5273,5190.33447
37:15.3,447200.188,819651.75,175641.828,7280.18262,10073.3955,5190.33252
37:21.2,447903.5,815075.187,175483.422,7285.82471,10097.5938,5182.2749
37:27.2,446555.656,809525.688,175822.75,7292.2749,10107.2734,5166.96484
37:33.2,448887.687,806479.688,175837.797,7295.50098,10125.8281,5154.07422
37:39.2,449930.969,803597.375,175688.563,7310.81836,10027.4258,5121.84375
37:45.2,442949.937,825570.938,174914.906,7095.58496,9372.53027,5183.08301
37:51.2,430959.594,933372.812,174362.234,7099.61475,9187.04492,5420.79541
37:57.2,428586.562,1039191.19,175383.375,7168.93848,9212.84863,5656.10107
38:03.2,433937.844,1122175.12,178870.266,7228.59131,9195.91406,5840.64795
38:09.2,437347.875,1189134,181548.172,7276.95898,9199.13965,5989.74023
38:15.1,441288.813,1215323,184168.156,7335.80615,9187.84961,6127.55371
38:21.0,441672.594,1218631.37,185600.625,7330.96826,9174.13867,6188.80518
38:26.9,440986.719,1256240.25,187261.703,7335,9126.56055,6256.50635
38:32.8,445076.469,1322846.5,189224.219,7361.604,9117.69141,6342.74561
38:38.8,449198.25,1365549.75,190645.578,7389.01221,9110.43262,6432.20947
38:44.8,453280.156,1393504.88,192945.687,7422.06348,9139.46289,6521.67383
38:50.8,456245.875,1421267,194878.672,7432.54492,9133.81934,6585.35107
38:56.8,457038.688,1430685.5,195939.109,7454.31006,9115.27051,6657.89063
39:02.8,458180.375,1440189.62,196685.828,7479.29932,9124.14063,6723.98535
39:08.8,459365.625,1468482.88,197760.125,7497.84326,9117.69043,6798.14258
39:14.8,460941.75,1487403.88,199846.547,7514.77246,9126.56055,6852.14795
39:20.8,463304.875,1509381,201569.203,7534.92529,9157.20313,6905.34717
39:26.8,466225.906,1531880.25,202908.531,7572.00928,9172.52637,6966.6084
39:32.7,467651.281,1536641.75,204099.016,7582.48975,9166.88184,6989.98535
39:38.6,468969.438,1550888.88,204651.594,7597.00098,9195.1084,7048.02441
39:44.6,471839,1570867,205838.297,7620.38184,9183.01172,7092.36035
39:50.6,475435.031,1592635.75,207767.781,7637.31152,9191.88184,7129.43994
39:56.5,478331.875,1604236.5,209424.313,7653.43457,9207.2041,7168.1333
40:02.6,479961.469,1610611.25,210021.938,7663.91504,9226.55957,7200.37744
40:08.5,482013.75,1617426.87,210952.125,7679.23193,9211.23535,7242.29443
40:14.5,482599.688,1633427.5,211791.734,7681.6499,9213.6543,7264.06006
40:20.5,484485.75,1632639.37,211809.422,7691.32568,9219.30078,7271.31494
