Time,A1,A17,A21,B3,B7,B11
30:33.8,431416.125,7162298,210346.359,5845.56201,4833.44824,6400.86279
30:39.8,430698.25,7085895.5,209730.203,5845.56152,4844.72803,6424.23584
30:45.8,431914.063,7251106.5,210714.031,5856.84326,4852.78467,6437.93701
30:51.7,433073.969,7306384,211494.953,5864.09814,4849.56299,6466.14893
30:57.6,432825.062,7362132,212090.312,5876.18652,4846.33936,6482.26807
31:03.6,434460.5,7359260.5,212646.266,5870.54492,4858.42578,6499.19482
31:09.6,435103.469,7369699,213181.281,5876.18506,4860.03564,6527.40332
31:15.6,436607.969,7460429.5,213334.969,5889.0791,4860.8418,6532.23975
31:21.7,436508.094,7456540,213498.859,5891.5,4857.62061,6549.16943
31:27.6,436893.438,7493220,213527.453,5886.66455,4849.56348,6551.58691
31:33.6,436776.656,7454820.5,213469.438,5888.27588,4859.23145,6568.51221
31:39.6,436967.875,7519583.5,212820.141,5890.69238,4863.25977,6582.21436
31:45.6,435378.844,7383439,213450.922,5888.27393,4871.31641,6587.85498
31:51.6,435235.844,7516978.5,213552.547,5902.77979,4868.09326,6601.55762
31:57.6,436694,7540200,213969.25,5910.83936,4880.98584,6614.45459
32:03.6,436997.687,7497612,214164.125,5907.61572,4878.56836,6628.96289
32:09.6,437881.406,7619179,214700.156,5920.50977,4878.56787,6644.27686
32:15.5,438895.188,7691632,214711.906,5918.89795,4882.59717,6659.59229
32:21.5,439416.781,7676833.5,214865.719,5918.90039,4878.56982,6661.20557
32:28.1,439375.531,7781992.5,215126.188,5919.70508,4872.12256,6674.10156
