Time,A1,A17,A21,B3,B7,B11
08:04.0,415030.781,4770435,179483.563,5856.82031,4822.14746,5445.82617
08:10.0,417283.813,4918085.5,181115.844,5866.49023,4824.56396,5490.14648
08:15.9,417143.938,4767809,180879.672,5852.79102,4818.11914,5512.71191
08:21.9,419300.188,4917357.5,181348.75,5851.17969,4827.7876,5523.99316
08:27.8,421075.75,5137023.5,182348.781,5863.26709,4826.98193,5554.61572
08:33.8,421269.938,5179420,183146.125,5867.2959,4832.62061,5591.68359
08:39.9,419960.281,5219550.5,183123.516,5868.90625,4836.64844,5625.52881
08:45.9,418757,5322861.5,183598.703,5863.26709,4835.03809,5643.25928
08:52.0,420369.75,5362870.5,184813.844,5868.90771,4838.26074,5666.62891
08:58.0,422505.188,5514866.5,185739.344,5870.51807,4838.25928,5695.63916
09:03.9,421934.719,5508737,186846.422,5883.41357,4848.73535,5719.81738
09:09.9,423847.813,5620865.5,187803.281,5881.80078,4847.92871,5744.79883
09:15.9,422490.312,5619552,188114.984,5897.11133,4856.79053,5777.03223
09:21.9,423695.281,5667802,188655.719,5907.58643,4855.17773,5802.01416
09:27.9,422476.156,5535313,188828.781,5889.85791,4870.4873,5818.13184
09:33.9,420714.031,5537614.5,189495.875,5904.36377,4870.48682,5840.69727
09:39.9,422594.281,5448251,189587.875,5896.30518,4866.4585,5853.5918
09:45.9,421104.219,5571148,188985.078,5905.97559,4863.23584,5877.76855
09:51.9,423011.687,5689296,190223.281,5918.06445,4877.73926,5898.72217
09:57.9,425033.75,5953784.5,190862.984,5922.09424,4876.12793,5928.54102
10:03.9,425287.5,5894739,191527.797,5911.61621,4878.54395,5952.71777
10:09.8,424068.906,5637177.5,190246.656,5910.81055,4872.90381,5948.68799
10:15.7,423552.469,5692349.5,189790.125,5913.22803,4878.54395,5953.52393
10:21.6,422967.031,5749939,190477.453,5918.86963,4879.35059,5983.34326
10:27.5,423313.531,5902489,191450.813,5924.5083,4885.79395,5998.65332
10:33.6,423891.031,5870148.5,191808.766,5923.70166,4889.01611,6016.38281
10:39.6,424043.406,5966235,192915.5,5933.37402,4886.6001,6034.11475
10:45.6,423964.75,5885864.5,192232.906,5923.70312,4889.01758,6043.78564
10:51.6,426011.594,6104765.5,193615.813,5939.82178,4892.24072,6066.35303
10:57.6,428262.625,6205073,194505.313,5951.10449,4892.24072,6091.33643
11:03.5,427178.094,6252017,195307.047,5960.77441,4901.90869,6118.7373
11:09.5,428790.719,6250490.5,195648.578,5953.521,4906.74316,6123.57275
11:15.4,428018.062,6167630,195409.203,5953.52148,4903.52002,6142.91553
11:21.3,425834.594,6035425,194640.031,5956.74512,4903.52051,6155.00488
11:27.3,429350.656,6131615,195087.766,5951.10303,4899.49121,6151.78076
11:33.2,429377.688,6130770,194991.484,5947.07275,4899.49072,6137.27295
11:39.2,429765.031,6004562,194757.984,5942.2373,4904.3252,6136.46777
11:45.2,427472.25,5998416.5,194911.156,5940.62646,4905.9375,6137.27393
11:51.2,426423.094,6110261,195659.437,5945.46143,4903.51953,6143.72119
11:57.3,428868.562,6154481.5,196590.281,5949.49023,4901.10205,6155.81006
