Time,A1,A17,A21,B3,B7,B11
23:24.2,390854.906,1171334.75,187798.641,6408.07178,5676.28564,3984.24194
23:30.1,391270.719,1160142.62,187598.094,6398.40088,5700.4624,3950.40723
23:36.1,391849.187,1149076,187105.047,6413.71533,5718.19238,3927.85107
23:42.0,392378.938,1138007.75,188725.625,6434.67139,5717.38623,3936.71216
23:48.0,392988.844,1129703.75,188904.5,6437.08887,5726.25098,3900.46069
23:54.0,393279.406,1119743.87,189835.781,6441.92334,5729.47266,3878.70923
24:00.0,393801.406,1110646,188985.531,6432.25195,5742.36816,3851.32007
24:06.0,394227.969,1102118.25,186912.016,6455.62744,5740.75732,3860.98755
24:12.0,394900.781,1094567,187843.828,6485.44922,5772.18604,3848.09814
24:17.9,395564.844,1085801.88,189159.437,6512.04639,5757.67969,3844.06982
24:23.9,396018.469,1077679.63,189287.406,6502.37646,5785.08203,3815.87622
24:29.8,396588,1070631.5,186906.234,6488.67432,5743.17578,3802.98706
24:35.7,396901.375,1063634.62,187558.016,6491.0918,5788.30518,3799.76465
24:41.7,397395.094,1055617.75,189873.484,6525.75098,5814.09326,3778.81982
24:47.7,398259.875,1047317.12,188006,6554.7666,5822.15186,3787.68066
24:53.7,398736.25,1041979.62,186482.516,6541.86816,5777.02002,3759.48462
24:59.6,399275.406,1035381.5,188816.703,6494.31445,5821.34473,3733.70703
25:05.6,399575.094,1029532.13,192144.781,6528.16602,5785.07959,3723.23486
25:11.6,399907.031,1023077.5,191767.547,6566.04932,5822.95703,3707.92969
25:17.6,400591.031,1017489.88,190207.906,6521.71973,5821.34619,3694.23584
25:23.5,401085.219,1012247.31,189128.563,6547.5127,5853.58252,3724.04199
25:29.5,401877.438,1007064.31,193003.969,6550.73584,5856.80615,3666.84741
25:35.5,402353.313,1001576.69,193001.422,6575.72217,5838.26953,3694.2356
25:41.4,403213.625,997716.25,189138.531,6595.06592,5790.72119,3692.62451
25:47.4,403804.781,991901.188,189785.656,6545.09326,5873.72949,3635.43091
25:53.4,406596.531,987157,190625.984,6368.58008,5332.99707,3701.48584
25:59.4,410125.594,1134897.12,184860.188,6350.04248,5136.38135,3961.68628
26:05.4,419992.625,1598139.75,190002.219,6372.60937,5131.54688,4236.40137
26:11.5,434233.031,2104292.25,198184.437,6358.90967,5149.27539,4438.62158
26:17.5,442714.187,2516090.75,204592.719,6371.80518,5139.60547,4590.89551
26:23.5,450564.187,2921830,208710.766,6370.99854,5141.21631,4725.44824
26:29.5,456334.594,3296895.75,211377.594,6382.28076,5141.21533,4835.02637
26:35.5,460260,3607500.75,214384.5,6392.75879,5159.74854,4959.91699
26:41.5,461629.125,3819924.5,216168.484,6404.04248,5156.52539,5059.83154
26:47.4,464980.687,4139739.75,217828.656,6411.29688,5157.33154,5154.91406
26:53.4,467439.281,4301762,219118.516,6430.64014,5171.83545,5245.96826
26:59.4,468553.313,4513985,220570.984,6447.56543,5181.50439,5326.54932
27:05.4,469666.844,4673598.5,222080.359,6444.34229,5186.33936,5407.13184
27:11.4,471255.656,4955395.5,222924.359,6464.49121,5201.64893,5478.84961
27:17.5,475080.219,5142605,224966.469,6477.38818,5210.51318,5552.18262
27:23.4,478298.938,5418303.5,227061.594,6478.19385,5215.34766,5616.65137
27:29.4,479604.688,5560994,228363.063,6493.5083,5225.01807,5682.7334
27:35.4,482338.5,5650442.5,229391,6497.5376,5221.79395,5725.44385
27:41.3,482722.625,5646288,229690.953,6497.5376,5224.21191,5764.93213
27:47.3,484452.063,5672785.5,229553.688,6494.31689,5228.24365,5814.90088
27:53.3,482438.75,5755526,230368.688,6503.18262,5237.10645,5854.38867
27:59.3,484951.594,5933891,231579.031,6512.04687,5250.80371,5905.15967
28:05.3,486126.031,5958014,232651.422,6524.94238,5244.35693,5947.06689
28:11.3,486708.125,6005303,232286.406,6516.07764,5249.19238,5983.33398
28:17.3,485807.188,5918016,231941.531,6518.49609,5262.08545,6018.79492
28:23.4,485732.844,6191402,233706.484,6542.67676,5261.28076,6080.04688
28:29.4,491426.406,6418226,234964.063,6558.7959,5262.08496,6122.76025
28:35.3,493091.875,6475137,235657.469,6567.66064,5251.60889,6156.60889
28:41.3,493138.094,6536055.5,235650.781,6554.76562,5216.1543,6192.87793
28:47.2,493719.219,6657033.5,235645.719,6540.25684,5194.39746,6225.92139
28:53.2,491761.5,6712047.5,234945.453,6521.71875,5189.5625,6257.35352
28:59.2,489866.656,6880696,234075.828,6511.24023,5177.47559,6284.75732
29:05.1,487858.25,6866493,233400.25,6500.7627,5183.92236,6301.68262
29:11.2,485197.719,6759957.5,232883.328,6502.37451,5186.33984,6315.38428
29:17.3,484364.406,6816968,232202.094,6484.64453,5170.22559,6320.22266
29:23.3,484725,7035453.5,231984.625,6473.36084,5164.58545,6360.521
29:29.3,484864.781,7151297,233209.703,6480.61279,5178.28223,6391.95264
29:35.3,485459.031,7180984,234015.094,6480.61279,5178.28223,6424.99902
29:41.3,484901.031,7217862,233708.094,6482.22461,5175.86426,6441.11816
29:47.3,482898.875,7230619.5,234061.469,6481.41895,5178.28223,6458.85059
29:53.2,484134.156,7262293.5,234730.422,6481.41992,5176.67139,6497.54004
