Time,A1,A17,A21,B3,B7,B11
20:14.9,738558.188,678604.5,192865.75,9700.02148,10327.5391,4971.19336
20:20.9,732169.063,671353.813,192174.703,9640.33789,10298.5,4926.07129
20:26.9,724316.875,666585.688,191167.734,9597.59473,10254.1367,4889.00732
20:32.8,721453.375,659823.125,190426.766,9582.26953,10263.0078,4884.17187
20:38.8,716205.625,651148.25,189138.391,9478.23145,10208.1582,4826.15869
20:44.7,712566,645127.75,187826.922,9485.48926,10188.7998,4800.37549
20:50.7,709772.562,640922.438,187083.984,9445.16406,10165.4072,4768.95215
20:56.7,702941.687,637135.188,186328.609,9396.77637,10162.1816,4714.96875
21:02.8,701295.938,631454.937,185768.016,9346.77539,10148.4707,4698.04932
21:08.8,697171.187,626939.25,184848.328,9328.22656,10112.1748,4660.18115
21:14.7,692849.563,628085.062,184003.922,9324.19336,10110.5586,4657.76318
21:20.6,688873.063,622771.125,183551.312,9256.45117,10083.1367,4620.70117
21:26.6,683922.563,617946.688,182612.828,9264.51758,10072.6523,4610.22803
21:32.6,681863.312,616794.813,181884.859,9216.12988,10054.9072,4561.08057
21:38.6,678815.875,615818.438,181207.875,9140.32422,10020.2227,4519.18408
21:44.6,673736.875,607866.625,179943.531,9151.61426,9996.83301,4515.15576
21:50.6,672707.875,602692.563,179449.578,9134.68066,10000.8672,4501.45996
21:56.6,665516,600451.125,178665.359,9095.97266,9957.31348,4470.84473
22:02.6,661734,596729.125,177803.641,9054.03711,9940.37402,4445.0625
22:08.7,658355.625,594226,177010.453,9062.10059,9944.40625,4437.00537
22:14.6,654335.375,591919.312,176767.766,9006.45898,9933.11426,4405.58447
22:20.6,650321.125,586416.125,175652.156,8987.91406,9902.46973,4374.16553
22:26.6,649561,585491.625,175017.75,8930.65918,9877.46484,4345.9668
22:32.5,649410.813,586606.563,174671.719,8939.52734,9876.65625,4337.90967
22:38.5,645161.75,582962.062,174047.422,8904.0459,9868.59082,4308.10059
22:44.4,639891.625,575179.625,173094.016,8900.01465,9860.52734,4295.21094
22:50.4,635828.187,571439.625,172574.922,8851.63379,9832.29883,4263.79102
22:56.4,633684.688,575026.5,172434.922,8826.63379,9827.45898,4243.6499
23:02.4,630176.625,573044.438,171690.078,8830.66504,9783.9043,4238.00977
23:08.4,627222.5,570254.625,171480.984,8809.69922,9819.39258,4225.11963
23:14.4,623981.75,565250.562,171043.641,8741.96387,9779.06641,4188.06055
23:20.3,620812.313,558817.5,170083.344,8674.23145,9730.6748,4133.27832
23:26.3,618645.625,555396,168861.703,8708.90332,9748.41797,4159.86377
23:32.2,616159.437,552961.188,168484.609,8693.58594,9758.90625,4135.69678
23:38.2,612982.75,553041.938,168084.969,8662.94336,9716.9668,4116.36182
23:44.1,611174.125,555669.875,167907.672,8677.45898,9724.22559,4113.13916
23:50.1,608603.375,555487.75,167830.266,8666.97461,9695.99609,4100.24951
23:56.1,603968.562,554103.5,167499.766,8633.1084,9689.54492,4072.8584
24:02.1,599516.188,545620.125,166749.859,8615.36914,9678.25391,4059.96899
24:08.2,598556.625,546128.125,166335.391,8579.88965,9662.92969,4035.80054
24:14.1,597152,545656.75,165901.813,8565.375,9660.50879,4026.93823
24:20.2,594523.812,540324.375,165197.875,8551.66602,9629.86133,4012.43799
24:26.1,592506.563,534955.562,164417.578,8539.57422,9641.1543,4007.60474
24:32.0,591610.625,533193.125,163978.281,8504.0918,9632.2793,3989.07446
24:37.9,588249,529208.75,163185.656,8467.80957,9626.6377,3968.13062
24:43.8,586401.125,529032.063,162788.172,8441.20215,9595.99121,3940.74072
24:49.7,583639.438,525580,162287.547,8421.04492,9573.40918,3921.40625
24:55.7,580975.75,520772.844,161597.406,8388.79102,9571.7959,3908.51733
25:01.7,580264.875,521176.875,161041.25,8428.30176,9554.05371,3914.96191
25:07.7,577926.562,520101.344,161308.109,8414.59375,9557.27832,3903.68384
25:13.7,577407.125,519667.937,161224.938,8399.27246,9556.4707,3894.01611
25:19.7,575653.125,516162.563,160741.141,8367.82812,9525.01953,3870.65527
