Time,A1,A17,A21,B1,B7,B11
55:51.8,629801.437,650590.875,157785.672,11912.0625,8848.44141,4989.74756
55:57.8,621717.437,632114.75,155963.25,11858.8086,8815.37988,4905.14355
56:03.8,617590.687,631481.688,155366.984,11843.4795,8816.1875,4874.52539
56:09.7,617414.563,633253.625,154595.625,11873.334,8773.44824,4865.66211
56:15.6,616460.688,629032,154603.891,11790.2227,8762.96387,4826.17969
56:21.6,613456.188,621846.563,153753.766,11724.0596,8729.09668,4778.64209
56:27.6,600799.563,620591.063,153049.859,11586.8945,8729.09473,4716.60059
56:33.5,599817.188,617788.688,152712.891,11618.3633,8708.9375,4695.65234
56:39.4,595149.438,609194.313,151654.813,11612.7148,8700.87305,4676.31445
56:45.5,593070.125,611603.687,150871.531,11574.791,8694.4209,4644.08594
56:51.5,591478,606535.75,150533.891,11539.2949,8681.52246,4604.60791
56:57.5,590525.562,599246.938,149922.531,11476.3613,8650.07324,4557.87695
57:03.5,585851.438,594779.313,149055.734,11385.9961,8624.26758,4520.0083
57:09.5,582943.625,588184.937,148144.313,11365.0156,8622.65332,4499.06006
57:15.4,581351.938,577730,147616.984,11305.3164,8611.36523,4457.9707
57:21.4,574721.375,575754.125,146680.156,11352.1084,8604.10742,4443.46777
57:27.4,571746,576139.75,146438.922,11303.6982,8577.49609,4417.68555
57:33.3,566993.188,577832.563,145937.437,11256.0986,8554.91992,4378.2085
57:39.3,564329.062,571442.563,144926.375,11268.2012,8539.59961,4370.15186
57:45.2,561204.062,563334.375,143906.344,11235.9268,8525.08301,4354.84326
57:51.2,554990.313,564341.5,143905.516,11217.3721,8530.72852,4323.42334
57:57.2,551877.375,556434.062,143502.078,11122.1758,8485.57617,4282.33594
58:03.3,549078.25,549948.937,142629.828,11110.8818,8485.57715,4261.38916
58:09.3,547779.188,545966,142276.984,11091.5205,8470.25586,4233.19189
58:15.3,543863.25,546310.063,141942.375,10950.3379,8462.19141,4189.68652
58:21.1,539758.625,547235.812,141057.094,11060.8594,8446.86914,4202.57568
58:27.1,538283.75,543195.813,140962.687,10842.2334,8427.5166,4135.70801
58:33.1,534800.5,536962.25,140146.313,10926.1328,8430.74121,4138.93066
58:39.0,530160,530703.25,139540.375,10847.8828,8399.2959,4115.56836
58:45.0,528729.75,531599.313,138710.953,10856.7529,8401.71191,4093.81519
58:51.0,527285.75,529523,138636.5,10787.3799,8377.52637,4044.67407
58:57.0,524213.375,527085.75,138125.031,10847.0742,8364.62402,4043.86792
59:02.9,521133.719,528203.813,138341.875,10821.2598,8365.42969,4047.89575
59:08.9,519608.813,522187.031,137880.891,10797.8633,8363.01074,4026.94971
