Time,A1,A17,A21,B3,B7,B11,,,,,,,,,,
03:19.2,707605.375,1025214.56,51225.4688,8337.19238,8225.11719,7306.03467,,,,,,,,,,
03:25.3,709581.625,1017031.94,51727.3203,8369.44824,8220.2832,7351.98682,,,,,,,,,,
03:31.3,711926.5,1015109.12,51958.3242,8329.93848,8223.50684,7351.18066,,,,,,,,,,
03:37.3,711500.187,1007916.25,52181.2109,8338.00195,8275.11133,7298.78271,,,,,,,,,,
03:43.3,712505.562,1009003.81,52477.3164,8307.36133,8251.72754,7243.96387,,,,,,,,,,
03:49.2,707759.125,1007082.69,52775.0547,8297.68457,8251.72559,7223.00342,,,,,,,,,,
03:55.9,707383.875,1012124.06,53281.1094,8369.44727,8293.6543,7249.60693,,,,,,,,,,
04:01.8,711832.312,1011281.5,53639.9531,8357.35449,8286.39941,7228.64941,,,,,,,,,,
04:07.7,716036.25,1018981.13,54015.0781,8333.97168,8304.13867,7199.62891,,,,,,,,,,
04:13.7,717963.375,1017292.56,54507.4219,8366.22363,8335.58398,7189.95557,,,,,,,,,,
04:19.8,717843.062,1017337.56,54870.4023,8353.32324,8341.22852,7191.56836,,,,,,,,,,
04:25.8,724636.5,1019499.12,55249.6953,8344.4541,8345.26172,7168.99707,,,,,,,,,,
04:31.9,729782.938,1020087.75,55655.0664,8352.51758,8348.48633,7173.83447,,,,,,,,,,
04:37.9,725050,1012897,55981.5039,8357.35645,8364.61328,7213.33545,,,,,,,,,,
04:43.9,718964.625,1010363.13,55972.5625,8348.48926,8158.20313,7214.94873,,,,,,,,,,
04:49.8,721638.75,1014361.38,56344.5977,8592.80566,8582.32227,7285.08008,,,,,,,,,,
04:55.8,718835.75,1006049.87,56149.207,7860.69385,7751.04785,6701.47168,,,,,,,,,,
05:01.7,704835.563,981301.125,54637.6445,7974.37402,8165.45898,6666.00732,,,,,,,,,,
05:07.7,700059.375,965106.438,53918.2656,7975.18018,8213.83594,6537.8501,,,,,,,,,,
05:13.6,679939.875,928447.125,53423.5273,7880.85107,8162.23389,6324.26025,,,,,,,,,,
05:19.7,659817.563,887294.375,52643.3008,7799.42285,8107.40723,6235.604,,,,,,,,,,
05:25.7,647274.25,868470,53098.0977,7756.69531,8073.54687,6214.65088,,,,,,,,,,
