Time,A1,A17,A21,B3,B7,B11,,,,,,,,,,
24:05.1,822928.313,1011519.94,127823.602,10422.7705,9880.73145,7579.3457,,,,,,,,,,
24:11.2,813487.687,1009765.25,128308.406,10365.499,9842.01758,7565.64111,,,,,,,,,,
24:17.2,817166.813,1013090.25,128390.164,10412.2812,9833.14355,7593.04932,,,,,,,,,,
24:23.2,818660.875,1013158.44,128879.117,10418.7334,9852.5,7673.66797,,,,,,,,,,
24:29.2,818348.5,1008625.44,128953.461,10417.1201,9822.6582,7685.76172,,,,,,,,,,
24:35.1,818678.75,1010588.94,129351.641,10299.3516,9795.23535,7643.83838,,,,,,,,,,
24:41.2,819357,1011082.37,129710.148,10364.6865,9788.78027,7718.00732,,,,,,,,,,
24:47.1,822923.062,1010029.56,129981.977,10330.8086,9790.39355,7677.69775,,,,,,,,,,
24:53.0,816288.563,1012906.38,130296.82,10284.0254,9796.84668,7688.17969,,,,,,,,,,
24:59.0,816146,1016372.94,131020.625,10344.5205,9792.00586,7768.79785,,,,,,,,,,
25:05.0,813095.875,1015901.19,131195,10340.4883,9773.45703,7726.87695,,,,,,,,,,
25:11.0,817042.937,1014721.44,131558.641,10242.0801,9756.52051,7680.92285,,,,,,,,,,
25:17.1,821236.062,1018392.19,131795.844,10285.6367,9735.5498,7713.17139,,,,,,,,,,
25:23.1,821328.375,1015194.69,131950.375,10326.7744,9775.87598,7740.58154,,,,,,,,,,
25:29.0,822650.875,1018859.69,132456.219,10346.9404,9753.29297,7748.64355,,,,,,,,,,
25:34.9,821152.813,1018467.19,132827.391,10314.6729,9757.32324,7732.51807,,,,,,,,,,
