Time,A1,A17,A21,B3,B7,B11
35:45.2,626748.625,634506.813,132003.031,8496.84863,9305.66602,4846.31299
35:51.1,644184.375,613807.938,131100.547,8352.51758,9273.4082,4772.18604
35:57.1,637591.875,624784.438,130858.422,8467.82129,9271.79492,4793.94043
36:03.1,629381.125,634892.375,130318,8504.10742,9253.24805,4789.9126
36:09.1,626177.437,621451.625,128849.133,8395.25488,9214.54004,4667.44385
36:15.1,611671.5,620158.937,128829.289,8245.28125,9178.25,4565.11963
36:21.1,609154,590348.875,127421.961,8376.70898,9172.60547,4649.71875
36:27.1,610096.438,593785.187,127773.766,8188.84131,9154.05664,4513.55566
36:33.0,607597.063,568387.187,126175.992,8172.71484,9134.7002,4463.60205
36:39.0,605650.562,557783.625,124914.617,8128.36719,9120.98828,4418.4834
36:44.9,590806.063,561470.938,124520.961,8087.25,9105.66895,4408.81689
36:50.9,582886.75,562787.125,124382.344,8150.14063,9085.50977,4403.9834
36:56.9,582669.188,562830.188,124279.984,8097.73242,9062.12402,4337.11426
37:02.9,577241.375,571515.563,123392.914,8092.896,9022.60938,4379.0083
37:08.9,574892.5,566722.438,123590.109,7955.0249,9012.12305,4309.7207
37:15.0,575757.5,549369.5,122941.555,7930.83643,9010.50879,4262.18701
37:21.0,579694.75,538333.188,121960.703,8074.35205,8981.48242,4361.28369
37:27.0,571729.063,545399.875,122292.336,7964.70068,8995.19043,4251.71484
37:32.9,574784.437,537563.625,121473.195,7884.07373,8916.15918,4206.59766
37:38.9,573734.688,533891.375,120773.797,7801.83936,8897.6123,4140.53662
37:44.9,566918.625,527490.5,119951.648,7834.89502,8896.00195,4123.61914
37:50.8,564281.375,519005.375,119357.164,7864.72559,8869.39062,4209.82129
37:56.8,561941.188,520772.688,119428.914,7881.65771,8895.19629,4189.68066
38:02.8,559945.313,524155.531,118447.898,7793.77881,8865.3584,4138.12012
38:08.9,560414.312,530664.188,118563.305,7839.73389,8842.78125,4119.5918
38:14.9,554842.437,520892.25,118391.023,7775.23682,8831.49219,4097.03467
38:20.9,552641.813,515384.594,117727.492,7709.12646,8817.78223,4022.11206
38:26.9,543187,507376.375,116794.578,7647.04834,8775.04395,3995.5271
38:32.9,543143.125,508961.813,116488.891,7698.64648,8773.43164,4003.5835
38:38.9,542586.125,507297.312,116246.641,7656.72412,8766.17383,3995.52759
38:44.8,538188.312,503211.719,115420.305,7692.19775,8741.17871,4031.78027
38:50.8,534116.125,505908.312,115125.414,7655.92041,8719.40723,3979.41602
38:56.7,533397.313,502361.344,114648.453,7606.7417,8716.9873,3938.33081
39:02.7,532044,500494.656,114230.883,7633.34668,8716.18164,3973.77734
39:08.8,529311.75,504231.375,114011.789,7602.71045,8690.37695,3944.77515
39:14.8,524314.562,493079.625,113163.563,7572.88232,8658.92871,3936.71924
39:20.8,517435.094,492573.156,113050.758,7571.26904,8665.37988,3935.91406
39:26.9,516359.5,490021.031,113071.344,7547.08447,8660.54199,3913.35742
39:32.9,515376.75,481450.844,112552.617,7440.6709,8636.35254,3829.57764
39:38.9,511371.219,478478.688,112180.477,7484.2041,8624.25684,3847.30005
39:44.8,508768.938,480602.187,112032.305,7476.9502,8600.875,3863.41284
39:50.8,506053.406,476753.281,111395.977,7393.91406,8600.06641,3802.99414
39:56.7,504848.344,471416.5,110702.883,7436.63867,8583.13086,3817.49341
40:02.6,500621.563,467823.313,110135.031,7314.104,8532.33203,3717.60425
40:08.7,496523.563,460147.344,109769.68,7377.79102,8556.52441,3773.18774
40:14.6,494748.594,457803.156,109621.555,7300.40186,8537.97852,3704.71558
40:20.7,493590.75,462204.156,109912.031,7335.06445,8555.7168,3734.52051
40:26.7,496140.906,469914.156,110739.109,7298.78711,8558.13574,3695.85352
40:32.7,495726.469,466094.25,109984.414,7318.94043,8526.68848,3706.32617
40:38.8,491555.875,462505.656,109284.992,7299.59473,8509.75684,3696.6604
40:44.7,488763.313,461799.437,109066.164,7293.14648,8502.50098,3685.38257
40:50.6,485972.969,461102.875,109262.797,7258.48145,8504.11133,3672.49316
40:56.6,486175.875,462362.938,109122.938,7251.22803,8487.18066,3670.07715
41:02.5,488030.437,464028.156,109375.547,7265.73877,8496.05078,3661.21631
41:08.5,485078.531,461162.063,109054.656,7276.21826,8478.31055,3660.41089
41:14.4,482722.094,458093.938,108846.484,7157.71729,8458.95801,3581.46753
41:20.4,480384.563,451095.687,108120.078,7206.08545,8467.02441,3612.88452
41:26.4,478597.469,447790,110448.633,7731.70557,9008.09863,4101.06494
41:32.4,528192.813,525983.75,123568.742,8222.70996,9648.43359,4889.82764
41:38.5,583895.188,630264.938,139188.484,8925.03809,9922.65918,5074.34766
41:44.5,638002.75,695593.125,148966.031,9380.67773,10257.3965,5458.71777
41:50.5,710550.438,765415.187,156361.688,10000.8965,10293.6943,5890.66699
41:56.4,761179,820149.75,163731.672,10209.001,10579.249,6339.57959
42:02.4,798005.375,867689.563,169141.938,10529.2314,10613.126,6631.35205
42:08.3,823416.938,895115.562,170539.375,10657.4951,10592.1533,6782.88867
42:14.3,832429.625,917845.5,173192.875,10635.7148,10562.3076,6562.03564
